Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
06-01-2023,127.45681762695312,128.11563445804813,122.80575895135166,123.90707040938507,87754700
09-01-2023,127.97792053222656,131.18352399196448,127.72226507394718,128.29258725392592,70790800
10-01-2023,128.54824829101562,129.06940194282927,125.98180587179891,128.08609090104719,63896200
11-01-2023,131.26217651367188,131.28183192855658,128.28274570808514,129.0595547117696,69458900
12-01-2023,131.18353271484375,132.0193381171801,129.24640871746402,131.6456901154858,71379600
13-01-2023,132.5109863,132.6683196907436,129.46273119909978,129.82655147153693,57809700
17-01-2023,133.67129516601562,134.99875596810472,131.8915047175872,132.5798193932039,63646600
18-01-2023,132.95350646972656,136.2967583598761,132.77650266153844,134.53663801277594,69672800
19-01-2023,133.0124969482422,133.9761376268957,131.53753029546903,131.84235433638028,58280400
20-01-2023,135.5690918,135.71659745917918,131.98001240951498,133.02231973826562,80223600
23-01-2023,138.75502014160156,140.92814412125819,135.59858513124948,135.81491475833332,81760300
24-01-2023,140.15135192871094,140.77084282048162,137.95857203194126,137.96839974299797,66435100
25-01-2023,139.49252319335938,140.05300275817604,136.49342112366645,138.53871015801215,65799300
26-01-2023,141.55746459960938,141.8426182007582,139.53183124401355,140.78064047196506,54105100
27-01-2023,143.49459838867188,144.77290596887224,140.69217042868402,140.7708371263728,70555800
30-01-2023,140.6134796142578,143.12092578303154,140.46598895897412,142.54077586673455,64015300
31-01-2023,141.88194274902344,141.93111130163894,139.9054929686203,140.31848180314623,65874500
01-02-2023,143.0028839111328,144.1631984692018,138.96149088558104,141.56725853069813,77663600
02-02-2023,148.3029785,148.65695608667727,145.69719525256042,146.41500811186492,118339000
03-02-2023,151.9215545654297,154.75349514117664,145.36287177724367,145.5595309829737,154357300
06-02-2023,149.19778442382812,150.54493079230497,148.26364190831887,150.02377712562708,69858300
07-02-2023,152.06906127929688,152.63938353904294,148.12598902287087,148.12598902287087,83322600
08-02-2023,149.38461303710938,152.0002240332312,148.64712974900903,151.31190929849808,64120100
09-02-2023,148.35215759277344,151.75442098443708,147.90967054867934,151.21359681759392,56007100
10-02-2023,148.7165069580078,149.0414968354293,146.95369947058745,147.1900598433605,57450700
13-02-2023,151.51339721679688,151.91715888947925,148.62788900472555,148.65743217523777,62199000
14-02-2023,150.8732452392578,151.4345954776921,148.56878800441328,149.80964612462722,61707600
15-02-2023,152.97091674804688,153.13833305811258,150.5581292969133,150.78463194852628,65573800
16-02-2023,151.3755340576172,153.95573796607766,151.02100096105386,151.17855953849067,68167900
17-02-2023,150.2331543,150.6763169294936,148.55897600306773,150.03619479649413,59144100
21-02-2023,146.22496032714844,149.00213887625634,146.15603126407484,147.9188390818426,58867200
22-02-2023,146.64842224121094,147.67262055430007,144.9250004924314,146.60902132895072,51011300
23-02-2023,147.13096618652344,148.05669224456878,145.00378282832062,147.81048914517564,48394200
24-02-2023,144.48184204101562,144.9545478123535,143.50687229977612,144.87576101262292,55469600
27-02-2023,145.67343139648438,146.90444675275575,145.2105684203629,145.46662923177482,44998500
28-02-2023,145.17120361328125,146.8158385647427,144.6000106018143,144.8166705381309,50547000
01-03-2023,143.1031036376953,144.99394185647634,142.80765687884437,144.6000229,55479000
02-03-2023,143.69398498535156,144.4818379,141.71450238763347,142.1872231725768,52238100
03-03-2023,148.73623657226562,148.81502337863614,145.09243318314816,145.79164167073546,70732300
06-03-2023,151.49368286132812,153.9261705239575,151.12930710707832,151.4542819528968,87558000
07-03-2023,149.29757690429688,151.69066400049135,148.83471383986452,151.36567408118486,56182000
08-03-2023,150.5482635498047,151.1391569879468,149.5240652876753,150.48917721139935,47204800
09-03-2023,148.3029022216797,152.1929083670859,147.9483691410299,151.2277963802791,53833600
10-03-2023,146.24464416503906,148.64758887079853,145.36816171354923,147.92868001277867,68572400
13-03-2023,148.18472290039062,150.81417020284252,145.4567883472071,145.56511831219402,84457100
14-03-2023,150.27247619628906,151.07017160073286,147.82030366070853,148.98237473704881,73695900
15-03-2023,150.6664276123047,150.9224733808993,147.6430468705848,148.89376260307495,77167900
16-03-2023,153.4830322265625,154.08376844517147,149.33696504123728,149.84907174243986,76161100
17-03-2023,152.64593505859375,154.35951419092353,151.93686886777078,153.70953434482817,98944600
20-03-2023,155.00946044921875,155.4230948668754,151.80882025865256,152.71486085947325,73641400
21-03-2023,156.86093139648438,156.9791040860205,154.16253977805687,154.93070734117964,73938300
22-03-2023,155.4329376220703,159.6774765177441,155.41323716716616,156.88061300312046,75701800
23-03-2023,156.5161895751953,159.09640765606994,155.2851743736272,156.41771737529447,67622100
24-03-2023,157.81617736816406,157.90480687220796,155.45263376473136,156.44728881765926,59196500
27-03-2023,155.87611389160156,158.32830230982592,155.47233717929535,157.5109061704178,52390300
28-03-2023,155.2556610107422,156.08291480553032,153.61102618902072,155.57080817581272,45992200
29-03-2023,158.32833862304688,158.60408497102497,156.92990642200107,156.94959185610742,51305700
30-03-2023,159.89414978027344,160.00247975071784,158.82070781762587,159.07675364456477,49501700
31-03-2023,162.39556884765625,162.49405610459849,159.45098920585787,159.97293860815142,68749800
03-04-2023,163.64625549316406,163.76442815863666,161.7258745440201,161.7751182,56976200
